Number of false positive reads: 391.

id	correct_species_taxid	correct_genus_taxid	sam_species_taxid	sam_genus_taxid
a96257a5-5eed-8c15-ea3e-55b69ff60533	1423	1386	1639	1637
70012f27-bd58-36b8-1860-f0781c51aea4	1423	1386	287	286
7ac1a1e8-50e9-6c6c-2ea7-f4949fa5a319	28901	590	1351	1350
f6108312-372f-3a17-6c36-00955e148402	1613	2742598	28901	590
00192bd2-241d-fb66-661e-860e89626023	562	561	28901	590
cc9139fa-e9b3-721b-cb64-a4f093668d0f	1280	1279	287	286
3429fec5-b978-5417-eccf-cf8af61205c6	1351	1350	1639	1637
efa56d3f-c38c-f6ff-04be-675df1c33a87	287	286	28901	590
47812012-2ec7-7467-e73a-a4f312642c6c	562	561	287	286
0b11ff9b-b6d5-3551-3c0f-4e25889873d4	1280	1279	28901	590
a96e20a1-2fe6-deee-a359-e6ab78f46316	1351	1350	562	561
0bd33862-24ca-f34e-a575-936df81998f6	1613	2742598	1280	1279
1c109f4c-278e-c963-8c77-f5c3247e9208	-	-	562	561
0e77707d-b1e4-3996-0187-2c9cf2527be3	1280	1279	287	286
8f01d38f-9a2a-bb9a-9c66-ea6592a88d8a	287	286	28901	590
82136855-18ce-b9a6-489b-18a556ed85e3	1639	1637	1423	1386
10f58a96-331f-05a0-80ff-7b8dcc960482	1639	1637	1351	1350
36d80f85-c612-9014-38d8-0869e8a9b4c5	1280	1279	1639	1637
ed29fdc3-f89d-c0d0-a2e3-718ae73d9850	287	286	28901	590
4170214d-e633-548a-a364-d24dd1856235	287	286	1423	1386
6c4e5e4a-d97b-470a-edd8-e1a782a0d7ad	1280	1279	1423	1386
5c2e6d37-7d04-6776-1f9b-b00376562f25	1613	2742598	562	561
6a5c937d-a7a4-850d-064a-4582e3805931	1639	1637	287	286
7897c921-a6bb-daea-8c52-47afabc2fa4b	1351	1350	1639	1637
f21d8dcb-665d-d51a-dbe8-199d2fa68b8a	28901	590	1639	1637
12f90d0e-4360-86e6-06c4-5401ea37c2d6	1613	2742598	1423	1386
c72d601e-3fd0-cdb6-3078-eac0bf232b30	1280	1279	1423	1386
ea606a6f-8632-a7ae-8f71-322b05a1b34f	1351	1350	28901	590
e09b46b7-92e4-1cb6-5cbd-205d9dc3f3ae	287	286	562	561
afe402da-1c42-5eea-c8d6-3b7c80310653	287	286	1423	1386
b447b4ea-ae02-58fe-5ce1-898a1f183804	287	286	1280	1279
de747aa4-8b10-4e57-12db-9dc2a3915f1a	287	286	1613	2742598
d6fbbecd-4cc3-cbe3-c398-8964c2ae1ba6	-	-	1423	1386
7f6c2ff0-9e06-d3b5-e7ce-97a5500c3f5e	287	286	28901	590
b462788d-d765-f243-9c65-540dba5fc714	1613	2742598	1423	1386
711674b9-0bb8-0563-cccd-9ec6c57443f1	287	286	562	561
60a54b95-5f06-e8ce-4a64-c0a2ec86a95d	1639	1637	1351	1350
36c31531-0f42-c3d3-ac66-fb9169a3e3d8	1639	1637	1613	2742598
f1356ba3-e057-e22c-9d0f-57e9e131b9e2	287	286	1351	1350
c754bc88-fbc7-924e-42b9-d2ff671c184b	1351	1350	287	286
5448a31b-3a6d-d6bb-4c27-fba6a6b0080e	28901	590	287	286
b5ee6416-8101-f04e-d611-6b603c1d621a	287	286	1423	1386
20ad7c79-d8ef-a399-996b-781e6d61ad5e	287	286	1423	1386
1fdd7fb7-fe98-8bdd-4a61-293a0f5c3418	1423	1386	287	286
57eb25bb-2ac3-1bcc-1cc7-a8a2e07e6d99	1280	1279	287	286
8ee7b8aa-2e12-6ac9-8606-71ce9db8e925	1423	1386	1639	1637
0eb7b9d2-7f87-6e32-3646-d03625d8a207	287	286	562	561
b1b53533-6b60-d137-4bb9-488d88ffcf14	28901	590	1280	1279
aa6b7e81-dbd2-510d-68a1-2426d837a3f5	-	-	1351	1350
5d0f76ac-47e6-fca8-6213-3566e7ad813a	1613	2742598	287	286
555689d6-72cf-6efd-434a-95796a317e23	-	-	1423	1386
e742a5c1-d341-0e08-3ac5-fc684ce2fabe	28901	590	1351	1350
e7f5b4e3-81c4-32a1-2dac-1d01db1062b8	1423	1386	28901	590
497e3453-a3fe-10a1-4389-a2380e1e597c	28901	590	287	286
a94f9e01-c673-c2da-4023-1fa3be59a64b	1423	1386	1280	1279
deb2133c-dda4-362f-8788-cffdf31e5dc2	1423	1386	287	286
b97fedf8-8988-80e0-8dd4-cc6759e51979	28901	590	1639	1637
300be2c7-25f3-7c81-4b1e-c0332a50cf01	1280	1279	562	561
7b043e59-be23-1c84-a243-5cb6df3c3346	-	-	287	286
b5385a98-cc9b-d2c9-f0cd-5e842586f9ce	287	286	1280	1279
025dd46d-121d-e9df-688d-02e3b57ae5ad	1639	1637	1423	1386
3b8f86d1-87a9-98b9-3353-6401c1116729	562	561	287	286
4b57bc07-d238-a575-26b5-91cfb5eff374	1639	1637	1280	1279
57b5be0f-7f16-7a33-678b-d5b572f0a4ba	287	286	1423	1386
a21a0ffd-f228-76ba-39ad-6eaf5f7b1f0a	1280	1279	1423	1386
f943e173-2c20-9472-dacc-146905ce732b	28901	590	1423	1386
8770129f-86f2-e948-ad31-4fbd1afbabcf	1613	2742598	1351	1350
bf619896-5d15-e697-f256-0cd60532a012	1351	1350	28901	590
a508fc3f-21c5-d0dd-9a08-b2045c0bb786	1351	1350	1639	1637
cbed1044-274e-8f2d-6df3-f9b30118d565	287	286	1351	1350
be7514d2-4c3c-29ac-3a7b-d9583db22de1	287	286	28901	590
7165e0ed-c2f3-b000-4489-7671950e926b	287	286	1423	1386
7c4fe1fa-4065-52d0-4366-bec60dc04b5e	1423	1386	28901	590
596a5f47-56af-6214-980b-1b323992b116	287	286	1639	1637
da46723b-7d03-74d3-8ea4-c1e2d0ef1e9c	1613	2742598	1280	1279
0e3a7fb4-01cc-b5f2-08b1-644325729794	-	-	1423	1386
a1305a6f-2ca7-0492-fb05-e401f725baef	1423	1386	562	561
415fa2d3-0135-bbe1-4b4c-225685a5c590	562	561	1639	1637
5c496be3-ad82-f5fd-a73e-067b23fbc31f	562	561	28901	590
66e5c6d5-9bf0-4cda-e635-44f70225cb99	287	286	562	561
0780b62c-451d-582f-d2ee-a9779055a67e	1280	1279	1351	1350
3ac8c950-3801-6a58-fad0-031bdf2a206b	1613	2742598	562	561
298f3c9f-466a-0ad4-cbd9-3e99a74a995f	1280	1279	1423	1386
4a28b11c-e521-f2de-4b93-c252ce7684ac	287	286	1423	1386
9c10e105-0cf7-34b5-0c11-bb8c09b63fef	1639	1637	287	286
2b07ade9-4a74-63d4-bee4-9d29af33b5fc	1351	1350	287	286
4c985427-a4fb-3535-9ad2-f509dff092da	28901	590	562	561
a5b11d13-5e3f-2aaa-c10e-278885dd9ed2	287	286	562	561
b336ee6f-fec1-d1fd-bafd-b0a3392fa091	287	286	1423	1386
740b6d9e-e64a-0432-200d-8bf9db8454af	1280	1279	28901	590
067d2947-7012-0128-db85-8aaefa54c9b9	287	286	1351	1350
ebb642f0-5a84-8997-1849-0f74f77b7d6b	1423	1386	287	286
5a65ae09-495e-c889-8039-24545c846436	1351	1350	1639	1637
3c4a9582-2450-fab0-4757-c7c02093f8ab	28901	590	1280	1279
2d9dd6b9-e9ab-5114-5040-21a4a5ab7c45	1351	1350	562	561
4f49280b-7826-66a6-9f83-0435bf8496f6	1639	1637	562	561
ad7c2f5a-961a-bc57-f429-923d94ad8f4e	1639	1637	1280	1279
7dc7e5a2-e257-27f6-91e5-6906eb05c459	1639	1637	287	286
78843d81-296d-3a75-5309-43565d82502d	1280	1279	1639	1637
e190cb79-abfc-6303-e7a3-c485754faf75	1639	1637	1351	1350
8f4188ba-f29b-4801-f6e1-d780fc14846f	1280	1279	1639	1637
741cde61-b931-2fff-1f13-221e2b6f0bd5	1613	2742598	1351	1350
f67f99e7-4b6b-d2f5-78a9-14cdd96fbd35	1423	1386	28901	590
8e153cf6-5837-293e-5718-9a4b2d69dc9d	1639	1637	287	286
bc1fac86-ec8d-e9e2-0f8f-7422885d48fd	-	-	562	561
d0d8fbb1-dc81-fd58-5738-bb31a9f61f8f	1639	1637	1351	1350
4376fa13-7f38-dcd3-05d3-01dcd8f123f5	287	286	1639	1637
575b1a88-cb24-001a-ae1a-65bc9a4dd915	1639	1637	28901	590
9295ab96-336b-f47f-3521-20f08ba41ac1	1351	1350	28901	590
f776f88c-002d-9b91-4427-1d3fe8e5aefa	562	561	28901	590
4546f655-fd7c-0b33-4bae-396c72556381	287	286	1351	1350
a2e0f6ca-ac9c-db37-bcdc-98f58e5a6a99	1613	2742598	287	286
