Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
49bde072-2b8e-b617-f057-1f690aa1bc66	-	-	*	*
caec6d78-67a1-67ae-fce0-67a16be1754a	-	-	*	*
44c03802-bc1b-33b0-95e1-7b7013c3ec0e	1423	1386	*	*
10ed8aad-78c0-56c6-614b-3a4ad51b8683	1423	1386	*	*
adaf95aa-0430-4a7b-974c-23496de65fa2	28901	590	*	*
6decbddc-21c4-5a74-ab24-a39a79450c18	287	286	*	*
5b1f9410-0d83-2216-f122-039e1d06725b	562	561	*	*
797cee3a-c831-12f9-e5f4-62e65eb43513	1351	1350	*	*
7613e343-d1ad-0672-2718-972639f7d385	287	286	*	*
b8ad60a1-ebba-5c91-2270-b5dee2773570	-	-	*	*
f2512485-b7ac-ad6d-2c13-ce4271d4cef3	562	561	*	*
e6f2d401-c652-c968-3809-36f3f87b85be	-	-	*	*
5acb43eb-d9fb-2e7b-fab7-e9afcbca596c	562	561	*	*
2d742469-c760-8abf-300a-a75ecd0c27d1	287	286	*	*
dd669f71-bd41-39fc-402d-f9f2297e670e	-	-	*	*
5bfc9d57-2ef0-75ad-660e-0d7c385c9395	1639	1637	*	*
fc9ba910-9cd5-c668-eca3-88cf4ea2bf24	-	-	*	*
ad1732a2-3433-abc9-aa9f-a50502ef1b50	-	-	*	*
50d5f141-2b3e-cd07-9907-6a9f18474602	-	-	*	*
cff113e4-865c-f729-ff8e-b24fb662ee29	28901	590	*	*
15aadc9f-d5a3-5a04-6d21-1e025da19932	-	-	*	*
560ef94f-d2d6-89b9-5650-abf269d76e66	28901	590	*	*
52e8bc6b-6d57-263c-42fb-c3b59395a772	287	286	*	*
3fba476b-44ac-3952-1b39-b88a02094172	1613	2742598	*	*
314b8947-a34a-2c18-97a0-6c4e2b96597c	1639	1637	*	*
91bd184a-21f1-6a5f-a22d-c2ad6ef3da91	1423	1386	*	*
ac486e01-9005-9e5f-4779-b983a126655b	-	-	*	*
de5a9ad1-921e-8c70-93b7-07b3e2ff3ff7	1639	1637	*	*
64111947-2b02-1343-9560-0d212dc5bb54	28901	590	*	*
3482aca9-52a4-331b-379e-6db39da2eaaf	1639	1637	*	*
9fde1ac9-37bf-c28b-afc7-2595918fb3f3	-	-	*	*
ff0a6fec-c92f-8d29-0f37-fc6317f1abea	1351	1350	*	*
c9bcd806-5d1d-6443-137f-fbc244d2b7c3	-	-	*	*
b3fcee86-e351-8574-01ab-c00618028416	-	-	*	*
a892cb8a-8b18-0c5f-1160-02314111a64e	-	-	*	*
858870f5-8b03-77a2-76d9-e551c77e2517	-	-	*	*
863559aa-9446-eca5-d056-df0518db625d	-	-	*	*
d748ddd5-0ac1-41c2-e103-df57e99fc295	-	-	*	*
a44cb91a-5361-fc1f-5152-0fc7913cefc0	287	286	*	*
62a5e641-27bd-ec15-8676-1d815cc1e2b3	1423	1386	*	*
c541c401-ef44-8de8-31f2-b72e626f9b57	-	-	*	*
bad102c9-2726-ad04-292e-c6de5f8b5d89	1423	1386	*	*
6f22cefe-744f-bdc0-79e6-43e7df218c1a	28901	590	*	*
ac62a6e9-9a21-9d04-21ee-01f4fd2aef14	1639	1637	*	*
121f39c9-9e1b-2b83-e00b-42aae94c03e2	-	-	*	*
4cff93b5-276e-9ed9-6d88-b6ff6ea3a52d	-	-	*	*
780af232-1b67-d242-ec6d-4827d0938092	-	-	*	*
7b6657a0-68a5-c323-8d92-4aaed6242615	287	286	*	*
71f265d7-a5f9-ba8d-1844-a9e83d8a0d4a	-	-	*	*
cc8b95be-0fb8-01bd-12cc-4164696399c4	-	-	*	*
4f57a353-5308-9351-0970-8aca0f9e6f30	-	-	*	*
d8395805-2db5-936e-57d8-09d2dd7f0d4d	-	-	*	*
dfbbe5ce-f536-c38c-6db3-eec0513ef5d4	287	286	*	*
1c43d786-c1eb-8068-8a94-20fba9b1d16f	1639	1637	*	*
f4065f6d-589b-c171-81a7-85495c73505a	562	561	*	*
c84a97e5-1682-efdb-51be-87c4e2cad302	1639	1637	*	*
25acebb3-e2b5-ed17-eb64-6bf5e1cb0d88	1423	1386	*	*
8f71d03f-05d5-41d8-1b27-23f7614dedf2	-	-	*	*
63161916-59eb-aada-9a17-2e9cac08f002	1351	1350	*	*
12822f96-a2c0-1943-b570-9a9f3ffc6ecc	-	-	*	*
5c44839c-8938-b12c-f0ed-683eca239f6b	-	-	*	*
893e1213-cbe3-94e1-acea-838748350160	-	-	*	*
f9bdba5a-bf00-24ad-bd58-b9bc08464211	-	-	*	*
b1c3435a-8ebc-8507-5d91-fd90a04563c8	-	-	*	*
76b6b048-3e34-2857-d173-c50fb1870aff	-	-	*	*
5443952a-3ac0-2c81-1dcc-82a4e0a38fc9	-	-	*	*
95c56a34-752f-e0ae-a398-8a46498b2a9d	-	-	*	*
1b2cdcaa-bdcc-5de7-dcc8-97c3e7906edf	1423	1386	*	*
53cf2546-c71f-5c4f-169c-eaa0fb1534ed	287	286	*	*
4b6f51bf-da4e-d0bd-abb3-4dc4af5b2e44	28901	590	*	*
43579349-f49e-4f6a-bc3a-1c3d516d8542	1351	1350	*	*
7b68a4fd-7652-f8e9-e1a6-261e065c2756	-	-	*	*
65622a89-0d27-2968-7b28-082409213746	-	-	*	*
eb74e14f-e60c-07be-b38d-a4d81315a985	-	-	*	*
2381b15c-d2f2-ec38-7f36-d5e25d4a634d	-	-	*	*
35503ade-740d-bf8e-89b3-a1a62b5fc39d	1639	1637	*	*
78b40c18-afb5-5381-af75-7c629686d6a5	-	-	*	*
44902bfb-e17c-fa08-404b-a320acc5ba7b	-	-	*	*
75ad5aa3-78c0-df30-08e5-311e482560f1	-	-	*	*
f9804290-58c2-5563-63fd-b85dc75ebda1	-	-	*	*
ec788a54-35d4-c449-a379-a4b1fcc6e4e4	-	-	*	*
7c5dd49b-1257-f3be-0352-0c8000989dd3	-	-	*	*
6e206847-8dc1-0331-ec46-a70dd5aba063	-	-	*	*
6d9c3ee1-5395-694d-d8c3-35642413e8d2	-	-	*	*
4d3e40fb-8270-5561-546c-127ab8558817	1639	1637	*	*
e6d771d2-6f71-1ec7-59af-37ec903af53f	-	-	*	*
0e0246bd-3aae-82cf-8adf-4a9e3abf86eb	-	-	*	*
babf280e-20a8-c006-6412-1da2ecf38fa7	-	-	*	*
