Number of false negative reads: 1999.

id	correct_species_taxid	kreken_species_taxid
6a98feef-7dde-64b5-e801-f140f2fa7e1b	1280	*
a8de0356-3f83-6697-49bb-2e8795f5cac2	1280	*
8ccdecbd-0027-99b8-9105-025713e4bba9	28901	*
049a2eea-2dcb-4e98-f066-3b198f9cf811	287	*
448820af-973a-2ff3-4bcf-53924bec0022	287	*
891f163c-5ada-2b69-3ce5-6ef25935bf03	1423	*
4d5b4ce0-1539-2d93-d360-661e9fdb0173	1639	*
ba2916ec-ecd2-bfea-adf1-42edc155372f	1423	*
2799478b-9d19-cfb4-ef57-96ad2ca23e8e	28901	*
44c03802-bc1b-33b0-95e1-7b7013c3ec0e	1423	*
112733d2-add5-bd8b-71cb-c0cb391fef0b	1639	*
10ed8aad-78c0-56c6-614b-3a4ad51b8683	1423	*
27fbf49b-2e9f-4be4-4093-02d6c2bca01e	562	*
a6e6c3f6-4dbd-a30c-0f0f-7b3e4db43635	562	*
934a7cae-1da0-3809-e153-37f5f7211431	562	*
e946aae9-e1e5-9ffb-7742-1dc9490761ca	1639	*
be8d20ff-fd97-d53b-3aaf-c64b8facc07e	28901	*
adaf95aa-0430-4a7b-974c-23496de65fa2	28901	*
6decbddc-21c4-5a74-ab24-a39a79450c18	287	*
db36ce41-1054-7f35-e4e0-63534643c9ce	1280	*
3a260c47-5253-f137-8b6b-210265f91304	1280	*
5b1f9410-0d83-2216-f122-039e1d06725b	562	*
797cee3a-c831-12f9-e5f4-62e65eb43513	1351	*
1af97d07-7791-404b-03ad-3ee56b49bf7c	287	*
7613e343-d1ad-0672-2718-972639f7d385	287	*
96d8d015-3ce9-ec0f-09ed-004182a1e1b5	1351	*
f2512485-b7ac-ad6d-2c13-ce4271d4cef3	562	*
f722a75c-5915-43f0-1b8b-22380c38a85d	1423	*
62fdf0b2-3e7b-e51a-0783-faf66b63f233	1639	*
a3de55e2-bed0-5ca6-7e72-05652b8af5fe	1280	*
6d73ec61-696d-9e8b-7e70-45f91d45ac78	1423	*
5acb43eb-d9fb-2e7b-fab7-e9afcbca596c	562	*
9818051a-f2ef-6782-3f5c-8b237a51e68a	562	*
2d742469-c760-8abf-300a-a75ecd0c27d1	287	*
978d3def-1573-4666-d492-4408c4eeebfc	28901	*
5bfc9d57-2ef0-75ad-660e-0d7c385c9395	1639	*
f4868ced-c01e-eead-74e5-a0cb2840a4b7	1351	*
8400247e-0da5-d3be-6a40-008d9f4d1c8b	1351	*
14277a21-acb9-1e19-a628-cce78ed84075	287	*
87890b0d-a6ba-a26f-e9e2-1c496113409f	28901	*
070aaa59-e3cc-5391-da99-12d4ede6c61e	28901	*
39d1d283-6f1b-2aef-1bb1-01321ac79444	1423	*
cff113e4-865c-f729-ff8e-b24fb662ee29	28901	*
fab017f9-edeb-405e-4267-f3ab2b68f86c	287	*
8308fe03-0b7d-6983-9ab8-cf33b05dfe2d	287	*
e955fde5-4e25-6ea3-6c8d-c3b38ea90785	1639	*
560ef94f-d2d6-89b9-5650-abf269d76e66	28901	*
0d659d77-7214-54dc-8a38-acb9a8e9c709	562	*
52e8bc6b-6d57-263c-42fb-c3b59395a772	287	*
3fba476b-44ac-3952-1b39-b88a02094172	1613	*
