Number of false positive reads: 403.

id	correct_species_taxid	kreken_species_taxid
c5c2adc0-28b0-b277-ff69-5952768e01ed	1639	91061
70012f27-bd58-36b8-1860-f0781c51aea4	1423	287
7ac1a1e8-50e9-6c6c-2ea7-f4949fa5a319	28901	1351
f6108312-372f-3a17-6c36-00955e148402	1613	28901
00192bd2-241d-fb66-661e-860e89626023	562	28901
cc9139fa-e9b3-721b-cb64-a4f093668d0f	1280	287
3429fec5-b978-5417-eccf-cf8af61205c6	1351	91061
efa56d3f-c38c-f6ff-04be-675df1c33a87	287	28901
0b11ff9b-b6d5-3551-3c0f-4e25889873d4	1280	28901
a96e20a1-2fe6-deee-a359-e6ab78f46316	1351	562
0bd33862-24ca-f34e-a575-936df81998f6	1613	1280
1c109f4c-278e-c963-8c77-f5c3247e9208	?	562
8f01d38f-9a2a-bb9a-9c66-ea6592a88d8a	287	28901
10f58a96-331f-05a0-80ff-7b8dcc960482	1639	91061
36d80f85-c612-9014-38d8-0869e8a9b4c5	1280	1639
ed29fdc3-f89d-c0d0-a2e3-718ae73d9850	287	28901
4170214d-e633-548a-a364-d24dd1856235	287	1423
6c4e5e4a-d97b-470a-edd8-e1a782a0d7ad	1280	1423
5c2e6d37-7d04-6776-1f9b-b00376562f25	1613	562
6a5c937d-a7a4-850d-064a-4582e3805931	1639	287
7897c921-a6bb-daea-8c52-47afabc2fa4b	1351	1639
f21d8dcb-665d-d51a-dbe8-199d2fa68b8a	28901	1639
12f90d0e-4360-86e6-06c4-5401ea37c2d6	1613	1423
c72d601e-3fd0-cdb6-3078-eac0bf232b30	1280	1423
ea606a6f-8632-a7ae-8f71-322b05a1b34f	1351	28901
4a9c0982-c195-4c61-c141-59390b54a498	287	1423
afe402da-1c42-5eea-c8d6-3b7c80310653	287	1423
548717a8-545c-0f17-3062-7351a59f0341	1351	91061
0088dc29-3b12-5ea7-baf0-8c54cd393695	1639	91061
de747aa4-8b10-4e57-12db-9dc2a3915f1a	287	1613
8cc2bbbc-f05a-7d3c-3890-35edac53d7e0	1280	287
d6fbbecd-4cc3-cbe3-c398-8964c2ae1ba6	?	1423
7f6c2ff0-9e06-d3b5-e7ce-97a5500c3f5e	287	28901
b462788d-d765-f243-9c65-540dba5fc714	1613	1423
711674b9-0bb8-0563-cccd-9ec6c57443f1	287	562
60a54b95-5f06-e8ce-4a64-c0a2ec86a95d	1639	1351
36c31531-0f42-c3d3-ac66-fb9169a3e3d8	1639	1613
f1356ba3-e057-e22c-9d0f-57e9e131b9e2	287	91061
c754bc88-fbc7-924e-42b9-d2ff671c184b	1351	287
b5ee6416-8101-f04e-d611-6b603c1d621a	287	1423
20ad7c79-d8ef-a399-996b-781e6d61ad5e	287	1423
