Number of false positive reads: 401.

id	correct_species_taxid	correct_genus_taxid	sam_species_taxid	sam_genus_taxid
10efb657-9aef-78a3-8694-4ad90281799e	1639	1637	1280	1279
56ff1c5c-8574-e821-8dd3-8d3ace9ce262	1423	1386	287	286
a6db05a2-1d61-0b71-e642-bb64b9c41000	1351	1350	287	286
b8589c9d-c00b-99fc-756d-c2994deba003	1423	1386	1351	1350
d143ae46-0302-4e80-b985-f3a7fd17ef7f	28901	590	287	286
3429fec5-b978-5417-eccf-cf8af61205c6	1351	1350	1639	1637
17c6fc22-0ba9-cc6c-e086-efd232eded60	1639	1637	1351	1350
043fcda4-cff5-58f2-534f-94023d0d08ba	1423	1386	1280	1279
65a77823-7a95-c126-2586-4d89c60b6f20	287	286	562	561
80408324-4914-f79b-dbaf-996feff89045	28901	590	1423	1386
88dc8541-01f9-53a2-8bd2-cb792a2a63ec	28901	590	287	286
f05b06b0-2bf9-2001-6355-7ab4efc1f626	562	561	1351	1350
1c109f4c-278e-c963-8c77-f5c3247e9208	-	-	562	561
8e5cf2ff-4281-5bc1-0d24-88d01a02d00f	562	561	1423	1386
392f0b2e-bce6-1db9-ccfb-daa6fad6222d	1613	2742598	562	561
d14b9e35-88f5-b01a-0bac-4b129faa7868	287	286	1280	1279
952466a7-34d9-568b-09b0-4c6da79006b7	562	561	287	286
5b3b71f3-c5a1-b0d3-d4fb-15d586a850c6	287	286	28901	590
10f58a96-331f-05a0-80ff-7b8dcc960482	1639	1637	1351	1350
fcaa9963-449e-216e-d14d-2e5cb961d7d9	1280	1279	1613	2742598
338ec3e0-260c-afb7-16b2-04755f15572e	1423	1386	28901	590
80376be6-ac8a-97dc-3619-111525856574	1639	1637	287	286
acb32f8c-2a09-9d06-a02d-8f1ac34b406d	28901	590	1423	1386
0964e9b7-5b5a-a9ba-031a-0df5ea956cbd	1613	2742598	562	561
ba0fc1a5-42e7-ca17-a388-a40c9d2c03fb	287	286	1639	1637
eedc414e-b5dd-ab6d-b2dd-8a2891124ea9	562	561	1423	1386
4a9c0982-c195-4c61-c141-59390b54a498	287	286	1423	1386
e1d9178e-11e3-7c2f-4607-7bbbd23e91d2	287	286	1351	1350
57dfd696-351b-217e-6e39-7f85cc53ca08	28901	590	1423	1386
f7c695d5-d1c0-7357-1055-b67576e13721	1423	1386	1639	1637
9b4563cb-b794-2d31-3c38-07bd8040a960	287	286	28901	590
aad526a9-a61b-267d-8507-0908b7d077c5	1639	1637	562	561
85883000-17fb-c16b-c171-83fea5651a3d	562	561	1423	1386
afe402da-1c42-5eea-c8d6-3b7c80310653	287	286	1423	1386
791afa07-0919-2409-a71b-0265e226a43f	562	561	1280	1279
8cc2bbbc-f05a-7d3c-3890-35edac53d7e0	1280	1279	287	286
2f70c8f3-9f56-30a2-7d5a-309cda680f32	562	561	287	286
d6fbbecd-4cc3-cbe3-c398-8964c2ae1ba6	-	-	1423	1386
0c1bdd20-a787-8962-0ce6-17dfec91ec77	287	286	1351	1350
f52c3f24-4395-e9e4-4aa3-6870e83b66b6	1639	1637	562	561
1460e17d-7764-3e3b-ab82-67184a9d51f9	1423	1386	1613	2742598
3b8a3d41-82ae-3db6-59a8-f476b8a5504d	1423	1386	28901	590
63ab3c0b-2e04-74c2-5dc2-00b0c3cfbf12	28901	590	562	561
b8628713-03a4-ed87-3c77-b4c9bba322c8	562	561	28901	590
e7ac4e17-2d92-4523-34cc-83250be9c946	1639	1637	287	286
117b3ee0-a6cf-90ac-d9b1-b1812fe4b081	1639	1637	28901	590
020b7293-28a0-6a72-f13f-8d72053ca784	562	561	287	286
aa6b7e81-dbd2-510d-68a1-2426d837a3f5	-	-	1351	1350
555689d6-72cf-6efd-434a-95796a317e23	-	-	1423	1386
e7f5b4e3-81c4-32a1-2dac-1d01db1062b8	1423	1386	28901	590
