Number of false negative reads: 1119.

id	correct_species_taxid	correct_genus_taxid	sam_species_taxid	sam_genus_taxid
0f375a8e-45de-4723-dde3-1293534db0d4	562	561	*	*
08c5f125-2a90-869f-e83d-75c35f83c7ac	562	561	*	*
3b7e609b-f910-5255-bc49-b41eac080a12	562	561	*	*
0f7bdec1-fd35-d0cb-3ca5-a2177a0cd42f	562	561	*	*
57105d28-2133-87cb-d9cd-54bd64305340	562	561	*	*
e8b24255-34d1-2c4a-51d7-fb5badd98e66	1496	1870884	*	*
d8be4296-7c82-f647-0c08-4248b060abbd	1502	1485	*	*
b2a7dafe-6dd8-e2cf-0706-dc2ef2bc0b50	562	561	*	*
ffa3b89a-d162-f5d8-02a9-f2f084530039	851	848	*	*
69b0bd7c-fdeb-108d-a7f6-cb0f3daa1365	423477	29465	*	*
b27caa64-67c5-dc30-5839-207412f6a4e2	1680	1678	*	*
da3894ee-57f9-1abc-3371-605369a2209f	562	561	*	*
dd9196b6-a6f0-f93f-65b5-1459db115701	562	561	*	*
90ba21e4-ea32-dd42-ccf0-58e73b153c2b	1496	1870884	*	*
737de928-3d97-05dc-cf0c-2b45610d8067	1502	1485	*	*
0d687d7d-7565-3be1-1512-2e104c929e65	562	561	*	*
e977d0ac-d0fa-2f5c-8973-0b8024a78479	562	561	*	*
6b80c281-0eb3-3024-eeda-18c0f4d02646	1496	1870884	*	*
834dffcb-6195-d059-97e0-47ac661128d0	1502	1485	*	*
88572956-3ca7-8e78-e27c-11d68e8e0555	1680	1678	*	*
f0427a42-7d9c-2d14-ebfa-d81620a7655f	562	561	*	*
b2727f94-79d9-57c8-743a-4b595c0a1ab5	562	561	*	*
1065fc89-d43a-bdc4-27ad-6f699294097e	1351	1350	*	*
a6c05cc8-3103-ab0a-1e75-457b7db949a0	851	848	*	*
eeaab41c-91f6-f79f-e2f1-55bc99b970d1	562	561	*	*
b438ad70-4da7-6802-33fc-0a932b950cb0	239935	239934	*	*
289b5afd-100d-0506-005f-4e0114544962	817	816	*	*
f6e64734-53a2-a8be-7eb6-d22723d36c2b	1351	1350	*	*
6ce213cc-e7c7-2caf-ad66-545f12579a47	562	561	*	*
815879ea-72a6-fd3c-ee54-4de61a90cc62	851	848	*	*
474ed584-b24e-f716-26dc-2998e84a8f70	562	561	*	*
c9a66983-5ac1-5fe0-f467-e075898a820c	562	561	*	*
411e2cbe-7aad-0c9a-1b5e-5d8397d5c9cf	851	848	*	*
96c8f8d0-99a6-06bb-5103-de5effd91690	1351	1350	*	*
