Number of false positive reads: 400.

id	correct_species_taxid	correct_genus_taxid	sam_species_taxid	sam_genus_taxid
a96257a5-5eed-8c15-ea3e-55b69ff60533	1423	1386	1639	1637
7ac1a1e8-50e9-6c6c-2ea7-f4949fa5a319	28901	590	1351	1350
d143ae46-0302-4e80-b985-f3a7fd17ef7f	28901	590	287	286
cc9139fa-e9b3-721b-cb64-a4f093668d0f	1280	1279	287	286
3429fec5-b978-5417-eccf-cf8af61205c6	1351	1350	1639	1637
17c6fc22-0ba9-cc6c-e086-efd232eded60	1639	1637	1351	1350
65a77823-7a95-c126-2586-4d89c60b6f20	287	286	562	561
47812012-2ec7-7467-e73a-a4f312642c6c	562	561	287	286
1c109f4c-278e-c963-8c77-f5c3247e9208	-	-	562	561
0e77707d-b1e4-3996-0187-2c9cf2527be3	1280	1279	287	286
d14b9e35-88f5-b01a-0bac-4b129faa7868	287	286	1280	1279
5b3b71f3-c5a1-b0d3-d4fb-15d586a850c6	287	286	28901	590
82136855-18ce-b9a6-489b-18a556ed85e3	1639	1637	1423	1386
10f58a96-331f-05a0-80ff-7b8dcc960482	1639	1637	1351	1350
4170214d-e633-548a-a364-d24dd1856235	287	286	1423	1386
6c4e5e4a-d97b-470a-edd8-e1a782a0d7ad	1280	1279	1423	1386
fcaa9963-449e-216e-d14d-2e5cb961d7d9	1280	1279	1613	2742598
6a5c937d-a7a4-850d-064a-4582e3805931	1639	1637	287	286
f21d8dcb-665d-d51a-dbe8-199d2fa68b8a	28901	590	1639	1637
acb32f8c-2a09-9d06-a02d-8f1ac34b406d	28901	590	1423	1386
c72d601e-3fd0-cdb6-3078-eac0bf232b30	1280	1279	1423	1386
ba0fc1a5-42e7-ca17-a388-a40c9d2c03fb	287	286	1639	1637
ea606a6f-8632-a7ae-8f71-322b05a1b34f	1351	1350	28901	590
eedc414e-b5dd-ab6d-b2dd-8a2891124ea9	562	561	1423	1386
e1d9178e-11e3-7c2f-4607-7bbbd23e91d2	287	286	1351	1350
57dfd696-351b-217e-6e39-7f85cc53ca08	28901	590	1423	1386
e09b46b7-92e4-1cb6-5cbd-205d9dc3f3ae	287	286	562	561
f7c695d5-d1c0-7357-1055-b67576e13721	1423	1386	1639	1637
aad526a9-a61b-267d-8507-0908b7d077c5	1639	1637	562	561
85883000-17fb-c16b-c171-83fea5651a3d	562	561	1423	1386
afe402da-1c42-5eea-c8d6-3b7c80310653	287	286	1423	1386
b447b4ea-ae02-58fe-5ce1-898a1f183804	287	286	1280	1279
de747aa4-8b10-4e57-12db-9dc2a3915f1a	287	286	1613	2742598
791afa07-0919-2409-a71b-0265e226a43f	562	561	1280	1279
2f70c8f3-9f56-30a2-7d5a-309cda680f32	562	561	287	286
d6fbbecd-4cc3-cbe3-c398-8964c2ae1ba6	-	-	1423	1386
b462788d-d765-f243-9c65-540dba5fc714	1613	2742598	1423	1386
711674b9-0bb8-0563-cccd-9ec6c57443f1	287	286	562	561
60a54b95-5f06-e8ce-4a64-c0a2ec86a95d	1639	1637	1351	1350
63ab3c0b-2e04-74c2-5dc2-00b0c3cfbf12	28901	590	562	561
f1356ba3-e057-e22c-9d0f-57e9e131b9e2	287	286	1351	1350
c754bc88-fbc7-924e-42b9-d2ff671c184b	1351	1350	287	286
e7ac4e17-2d92-4523-34cc-83250be9c946	1639	1637	287	286
b5ee6416-8101-f04e-d611-6b603c1d621a	287	286	1423	1386
117b3ee0-a6cf-90ac-d9b1-b1812fe4b081	1639	1637	28901	590
1fdd7fb7-fe98-8bdd-4a61-293a0f5c3418	1423	1386	287	286
8ee7b8aa-2e12-6ac9-8606-71ce9db8e925	1423	1386	1639	1637
020b7293-28a0-6a72-f13f-8d72053ca784	562	561	287	286
0eb7b9d2-7f87-6e32-3646-d03625d8a207	287	286	562	561
b1b53533-6b60-d137-4bb9-488d88ffcf14	28901	590	1280	1279
aa6b7e81-dbd2-510d-68a1-2426d837a3f5	-	-	1351	1350
5d0f76ac-47e6-fca8-6213-3566e7ad813a	1613	2742598	287	286
555689d6-72cf-6efd-434a-95796a317e23	-	-	1423	1386
e7f5b4e3-81c4-32a1-2dac-1d01db1062b8	1423	1386	28901	590
4b1bd53e-55e5-ba9b-4e31-666e71f369e9	1639	1637	28901	590
927b9971-7dba-481a-cf13-828eb984dc29	562	561	287	286
deb2133c-dda4-362f-8788-cffdf31e5dc2	1423	1386	287	286
7b043e59-be23-1c84-a243-5cb6df3c3346	-	-	287	286
2743d6cf-c413-cfa4-170e-2be7d65fca9b	287	286	1423	1386
b5385a98-cc9b-d2c9-f0cd-5e842586f9ce	287	286	1280	1279
6b58e3b9-3a05-398b-6045-835000a99417	28901	590	287	286
4b57bc07-d238-a575-26b5-91cfb5eff374	1639	1637	1280	1279
57b5be0f-7f16-7a33-678b-d5b572f0a4ba	287	286	1423	1386
24dbbe3a-14b5-8fa7-592c-be52b88b3abc	562	561	1351	1350
f943e173-2c20-9472-dacc-146905ce732b	28901	590	1423	1386
234f1f14-5826-a1da-04e5-92e495657be9	1351	1350	1639	1637
a508fc3f-21c5-d0dd-9a08-b2045c0bb786	1351	1350	1639	1637
cbed1044-274e-8f2d-6df3-f9b30118d565	287	286	1351	1350
0cec5a08-399c-a56a-1ee9-2576147fa24c	1280	1279	562	561
7165e0ed-c2f3-b000-4489-7671950e926b	287	286	1423	1386
7c4fe1fa-4065-52d0-4366-bec60dc04b5e	1423	1386	28901	590
596a5f47-56af-6214-980b-1b323992b116	287	286	1639	1637
da46723b-7d03-74d3-8ea4-c1e2d0ef1e9c	1613	2742598	1280	1279
0e3a7fb4-01cc-b5f2-08b1-644325729794	-	-	1423	1386
a1305a6f-2ca7-0492-fb05-e401f725baef	1423	1386	562	561
77329ad1-4f7a-3c63-d55c-ecad5382536a	1423	1386	1639	1637
66e5c6d5-9bf0-4cda-e635-44f70225cb99	287	286	562	561
f7301a1f-b2cf-bca6-998b-14714da75aa6	1423	1386	1639	1637
0f0d99c5-c076-2906-6c7f-b85616631dd5	28901	590	1423	1386
4a28b11c-e521-f2de-4b93-c252ce7684ac	287	286	1423	1386
2b07ade9-4a74-63d4-bee4-9d29af33b5fc	1351	1350	1423	1386
4c985427-a4fb-3535-9ad2-f509dff092da	28901	590	562	561
ca96c5b3-6341-3dd1-65b0-5548486422a7	562	561	1639	1637
a23d417e-bf9c-36c6-984b-1f8d0f37d48e	287	286	1280	1279
f22e3a79-a3aa-27fd-8a54-42c89da8f548	1613	2742598	28901	590
740b6d9e-e64a-0432-200d-8bf9db8454af	1280	1279	28901	590
067d2947-7012-0128-db85-8aaefa54c9b9	287	286	1351	1350
eaae3ab6-c052-9a4d-2c69-e791bdb351db	28901	590	1423	1386
ca42d968-1b58-7b06-b6c5-6a264adee480	1280	1279	28901	590
4f49280b-7826-66a6-9f83-0435bf8496f6	1639	1637	562	561
346e928e-b051-5ddd-96f2-2626069d8fdf	562	561	287	286
ad7c2f5a-961a-bc57-f429-923d94ad8f4e	1639	1637	1280	1279
6dea2dd5-69ce-2f8f-405c-c770cb9f1535	287	286	28901	590
a097c3db-d481-3210-7ede-6925695c7268	1423	1386	28901	590
e190cb79-abfc-6303-e7a3-c485754faf75	1639	1637	1351	1350
8f4188ba-f29b-4801-f6e1-d780fc14846f	1280	1279	1639	1637
361ef2ab-46ba-d782-e4b9-fe64665f2c17	1639	1637	1351	1350
bc0d9f5d-fd88-c70a-76ba-f8dc0f1ded71	562	561	1423	1386
f67f99e7-4b6b-d2f5-78a9-14cdd96fbd35	1423	1386	28901	590
8e153cf6-5837-293e-5718-9a4b2d69dc9d	1639	1637	287	286
bc1fac86-ec8d-e9e2-0f8f-7422885d48fd	-	-	562	561
e47fa861-1949-2b59-dcce-bf33d5c9dc6e	1423	1386	28901	590
d0d8fbb1-dc81-fd58-5738-bb31a9f61f8f	1639	1637	1351	1350
4376fa13-7f38-dcd3-05d3-01dcd8f123f5	287	286	1639	1637
575b1a88-cb24-001a-ae1a-65bc9a4dd915	1639	1637	28901	590
9295ab96-336b-f47f-3521-20f08ba41ac1	1351	1350	28901	590
f776f88c-002d-9b91-4427-1d3fe8e5aefa	562	561	28901	590
08066ae2-0a79-434d-6175-f122ac18a5db	1351	1350	1639	1637
9209533b-2bf1-98f6-be6f-a0cf6d97e30f	1423	1386	287	286
78a986c3-15ed-133d-841f-22199a5897c8	287	286	28901	590
7693ec48-bafb-056a-f62e-d9cb41394d91	1639	1637	287	286
115fe802-c31b-f6a1-731b-62f37af9e167	1613	2742598	562	561
5d7eecb8-95d7-1f52-1b5e-246c4f66ee26	-	-	287	286
53852fed-98b2-cb49-9bba-d59542bbfe5d	287	286	28901	590
1dd18ec5-2238-8be7-8beb-0453576abbda	1423	1386	1280	1279
1c2b3107-ac74-15b2-743b-08f320264eb2	1639	1637	1351	1350
9f0290bd-d441-ee2c-a1dd-ab2546042a7f	1351	1350	562	561
c8bbc442-3da4-7ca0-7da5-e1616af2f2b0	287	286	1639	1637
37aebbbd-ee81-c810-67a9-3215c6b61aab	1351	1350	1613	2742598
ec59caf5-1766-1144-8de2-2a4f13845cca	-	-	28901	590
1b11040c-7a83-0b75-0a7a-39546f6bf8ac	1639	1637	1613	2742598
0487bc30-8106-1e6f-7d78-3a2791344f8a	1351	1350	1639	1637
19266e0f-3bbc-3dc0-fb3e-995631a388d1	1280	1279	287	286
da6f993f-118f-190e-e9e3-7a993abd84d0	287	286	1423	1386
cc56be0d-c749-67dc-e30b-5792fbe350e0	-	-	1423	1386
7ac082f9-02fe-6634-c2d4-32e48ba0cecb	1280	1279	562	561
dac06f2c-04f5-f0e0-32a2-b4bb7963d2ef	287	286	1613	2742598
e6149e55-e1b5-2846-3752-66ee851917ea	1639	1637	1351	1350
22618d65-0f56-d03d-56ea-ad662d9c2697	1351	1350	1639	1637
ca0e5daf-ad1a-e3b8-f54e-ff18322378f4	562	561	28901	590
a9a4cbac-5f7f-a0a1-ed0e-44b8fffd419a	287	286	1423	1386
4b371c80-0b0b-c161-e456-2c1d09a53187	28901	590	1639	1637
9c3b660d-1f56-98df-fdbb-357acc9a7570	1351	1350	1423	1386
042d167f-204e-5d6d-ef85-e9053fe8640e	1639	1637	287	286
db5a95b3-4b17-49b3-148f-7b0cbbfd3fbe	562	561	1639	1637
1a744fa8-59e1-7ee7-483c-da4c2786edb1	287	286	1639	1637
a1fde11a-a5eb-5f1c-4c2f-56c3668ca49c	562	561	1423	1386
beb04181-5930-4cb4-993c-77cf125b3fc2	562	561	287	286
c64efdc0-9bfb-ef1a-cf52-3a3306c60109	1280	1279	1639	1637
deb37b30-6c2e-df3c-7e2c-989f4f31a836	1280	1279	1613	2742598
896d8b73-43aa-966a-9ccb-7f469c42f83d	28901	590	562	561
5ca6bc17-7f3c-19a3-6a3c-6f2193e183ec	1351	1350	1639	1637
b21477bd-e1bf-ea1c-411e-35bf48c26f85	1639	1637	287	286
6a5b5321-e3b7-0905-e745-36ddd27eece1	1423	1386	1351	1350
ca2d0ca7-253b-f978-129e-4f4f214b7af2	1613	2742598	28901	590
b232afca-42b2-9664-610b-152973e07f2a	1639	1637	287	286
14e55a2a-1d4a-bdf1-f46d-74fe43dc823d	1423	1386	287	286
8433de1c-799e-01da-4218-3ba19707caad	28901	590	1423	1386
e97161f0-bace-a72f-c0be-98be06e27a4a	1351	1350	1639	1637
3a165b34-3e9c-635d-f309-aef23166e397	562	561	1639	1637
eb545307-83ec-2c2f-2ca6-3087a0d4bbe5	28901	590	1280	1279
e5c1791e-8231-e83a-fd45-b4ed5ae3cc83	1351	1350	1639	1637
33ab2ffc-a23c-bb2c-d53f-dc20f0d6e8a3	1423	1386	1280	1279
54beff40-9d55-69dc-571e-66d5bff775c1	1613	2742598	1351	1350
2b39e9f2-11e1-d4e1-080e-04c519395e21	28901	590	287	286
47951a1c-aaf4-4f7e-0741-0df094d542bf	287	286	562	561
